,,Phylum,Class,Order,Family,Genus,,
OTU_17375,Geobacter pickeringii Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_16968,Anaerobacillus alkalilacustris Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Anaerobacillus,,
OTU_18927,Anaeromyxobacter sp. Fw109-5 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter,
OTU_18920,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_18921,Pseudomonas benzenivorans Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_9149,uncultured Bradyrhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, environmental samples,
OTU_16749,Thiothrix nivea DSM 5205 Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Thiotrichaceae, Thiothrix,,
OTU_4315,Geobacter sp. M21 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_3022,Alkalinema sp. CACIAM 70d Bacteria, Cyanobacteria, Synechococcales, Pseudanabaenaceae, Alkalinema,,,
OTU_16744,Kosakonia sacchari Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Kosakonia,,
OTU_4640,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_15688,uncultured Bradyrhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, environmental samples,
OTU_16964,Burkholderia sp. enrichment culture clone CACua-09 Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, environmental samples,
OTU_4312,Nitrincola sp. A-D6 Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Nitrincola,,,
OTU_11211,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_11210,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_11213,Burkholderia fungorum Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia,,
OTU_11215,Anaerocolumna jejuensis DSM 15929 Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Anaerocolumna,,
OTU_11216,Anaeromyxobacter sp. Fw109-5 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter,
OTU_8615,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_11218,uncultured Rhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Rhizobium, environmental samples
OTU_8448,uncultured alpha proteobacterium Bacteria, Proteobacteria, Alphaproteobacteria, environmental samples,,,,
OTU_460,Rubrivivax benzoatilyticus JA2 Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Rubrivivax,,,
OTU_744,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_6727,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_1179,Sphaerotilus natans Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Sphaerotilus,,,
OTU_4592,Hydrogenophilales bacterium RIFOXYD1_FULL_62_11 Bacteria, Proteobacteria, Hydrogenophilalia, Hydrogenophilales,,,,
OTU_16563,Clostridium kluyveri Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium,,
OTU_9360,Thiorhodococcus sp. AK35 Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Thiorhodococcus,,
OTU_9107,Pseudomonas sp. IPPW-2 Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_1170,Anaeromyxobacter sp. Fw109-5 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter,
OTU_10017,Geobacter metallireducens RCH3 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_19259,Methylobacter bovis Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylobacter,,
OTU_1174,Mesorhizobium sp. LSJC264A00 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium,,
OTU_16569,Methylomonas sp. DH-1 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_1778,Geobacteraceae bacterium GWC2_58_44 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae,,,
OTU_10151,Methylococcaceae bacterium Sn10-6 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae,,,
OTU_18970,Pseudanabaena cf. frigida LEGE 06144 Bacteria, Cyanobacteria, Oscillatoriophycideae, Oscillatoriales, Pseudanabaena,,,
OTU_854,uncultured Bradyrhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, environmental samples,
OTU_8065,Chloroherpeton thalassium ATCC 35110 Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chloroherpeton,,
OTU_4357,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_5519,Anaeromyxobacter sp. RBG_16_69_14 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_11695,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_1772,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_11691,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_11693,Candidatus Propionivibrio aalborgensis Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Propionivibrio,,
OTU_11692,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_18819,Azotobacter chroococcum Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Azotobacter,,
OTU_7218,Thioflavicoccus mobilis 8321 Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Thioflavicoccus,,
OTU_11508,Geobacter pickeringii Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_19720,Pseudomonas sp. IPPW-2 Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_2806,Propionivibrio dicarboxylicus Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Propionivibrio,,
OTU_15909,Thiocapsa roseopersicina Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Thiocapsa,,
OTU_11507,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_18123,Desulfobacca sp. RBG_16_60_12 Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, Desulfobacca,,
OTU_18814,Geobacteraceae bacterium GWC2_53_11 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae,,,
OTU_6316,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_8276,uncultured Bradyrhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, environmental samples,
OTU_19003,Anaeromyxobacter sp. RBG_16_69_14 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_15514,uncultured alpha proteobacterium Bacteria, Proteobacteria, Alphaproteobacteria, environmental samples,,,,
OTU_8324,Opitutaceae bacterium TAV4 Bacteria, Verrucomicrobia, Opitutae, Opitutales, Opitutaceae,,,
OTU_6314,Bradyrhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_7473,Geobacter sp. M21 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_6649,Rhodospirillum rubrum ATCC 11170 Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Rhodospirillum,,
OTU_1017,Rhodomicrobium vannielii ATCC 17100 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodomicrobium,,
OTU_1016,Methanosaeta concilii GP6 Archaea, Euryarchaeota, Methanomicrobia, Methanosarcinales, Methanosaetaceae, Methanosaeta,,
OTU_8406,gamma proteobacterium enrichment culture clone GD11.20 Bacteria, Proteobacteria, Gammaproteobacteria, environmental samples,,,,
OTU_1691,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_11323,Rhodomicrobium vannielii ATCC 17100 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodomicrobium,,
OTU_15904,Crenothrix sp. D3 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Crenotrichaceae, Crenothrix,,
OTU_16413,Lyngbya wollei Bacteria, Cyanobacteria, Oscillatoriales, Lyngbya,,,,
OTU_64,Geobacter sp. M18 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_2800,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_5060,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_1018,Geobacter pelophilus Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_9214,Bradyrhizobium sp. ORS 285 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_5254,Desulfovibrio desulfuricans ND132 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio,,
OTU_8618,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_5513,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_8900,Achromatium sp. WMS3 Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Thiotrichaceae, Achromatium,,
OTU_12933,Sinorhizobium americanum CCGM7 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Sinorhizobium,
OTU_596,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_12935,Anaeromyxobacter sp. PSR-1 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_2075,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_9977,Pelobacter propionicus DSM 2379 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Pelobacteraceae, Pelobacter,,
OTU_9753,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_5436,Methylobacter tundripaludum SV96 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylobacter,,
OTU_9085,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_19471,Crenothrix sp. D3 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Crenotrichaceae, Crenothrix,,
OTU_8619,Desulfobacca acetoxidans DSM 11109 Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, Desulfobacca,,
OTU_2524,Aurantimonas sp. USBA 369 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Aurantimonadaceae, Aurantimonas,,
OTU_7825,Pseudomonas sp. IPPW-2 Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_2525,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_2526,Dehalobacter sp. DCA Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Dehalobacter,,
OTU_5888,Azoarcus sp. KH32C Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Azoarcus,,
OTU_6469,Anaeromyxobacter sp. PSR-1 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_15269,Desulfovibrio sp. TomC Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio,,
OTU_9750,Methylomonas sp. DH-1 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_5431,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_9105,Anaeromyxobacter sp. Fw109-5 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter,
OTU_15260,Desulfomonile tiedjei DSM 6799 Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, Desulfomonile,,
OTU_2520,Rhodocyclales bacterium RIFCSPLOWO2_02_FULL_63_24 Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, unclassified Rhodocyclales,,,
OTU_11033,Ferriphaselus amnicola Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Gallionellaceae, Ferriphaselus,,
OTU_12815,Martelella endophytica Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Aurantimonadaceae, Martelella,,
OTU_15264,Candidatus Propionivibrio aalborgensis Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Propionivibrio,,
OTU_11034,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_6467,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_11036,Leptolyngbya sp. O-77 Bacteria, Cyanobacteria, Synechococcales, Leptolyngbyaceae, Leptolyngbya,,,
OTU_5662,Geobacter pickeringii Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_6008,Bradyrhizobium sp. cf659 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_351,Geobacter lovleyi SZ Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_5661,uncultured Bradyrhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, environmental samples,
OTU_3930,Anaeromyxobacter sp. Fw109-5 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter,
OTU_14931,Pseudomonas sp. IPPW-2 Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_6699,Anaeromyxobacter sp. RBG_16_69_14 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_18071,Desulfovibrio sp. FW1012B Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio,,
OTU_5668,uncultured delta proteobacterium Bacteria, Proteobacteria, Deltaproteobacteria, environmental samples,,,,
OTU_306,Candidatus Propionivibrio aalborgensis Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Propionivibrio,,
OTU_5462,Methylobacter tundripaludum SV96 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylobacter,,
OTU_8696,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_3748,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_5469,Methylomonas methanica Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_5289,Desulfobacca sp. RBG_16_60_12 Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, Desulfobacca,,
OTU_304,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_2962,Geobacter metallireducens RCH3 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_352,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_940,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_6644,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_15866,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_7955,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_8011,uncultured alpha proteobacterium Bacteria, Proteobacteria, Alphaproteobacteria, environmental samples,,,,
OTU_5683,Anaeromyxobacter sp. PSR-1 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_21218,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_6540,uncultured alpha proteobacterium Bacteria, Proteobacteria, Alphaproteobacteria, environmental samples,,,,
OTU_17898,Rhodospirillum photometricum DSM 122 Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Rhodospirillum,,
OTU_18312,Candidatus Propionivibrio aalborgensis Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Propionivibrio,,
OTU_8135,Pseudomonas sp. IPPW-2 Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_8662,uncultured Azoarcus sp. Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Azoarcus, environmental samples,
OTU_15512,Geobacter thiogenes Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_15197,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_6795,Azoarcus sp. CIB Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Zoogloeaceae, Azoarcus,,
OTU_186,Rhodocyclales bacterium RIFCSPLOWO2_02_FULL_63_24 Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, unclassified Rhodocyclales,,,
OTU_9705,uncultured alpha proteobacterium Bacteria, Proteobacteria, Alphaproteobacteria, environmental samples,,,,
OTU_15191,Bradyrhizobium sp. AT1 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_9118,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_10125,Desulfurivibrio alkaliphilus AHT2 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae, Desulfurivibrio,,
OTU_998,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_1949,Azospirillum sp. TSH100 Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Azospirillum,,
OTU_3840,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_1946,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_15464,uncultured Bradyrhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, environmental samples,
OTU_3843,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_1943,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_15461,Rivularia sp. PCC 7116 Bacteria, Cyanobacteria, Nostocales, Rivulariaceae, Rivularia,,,
OTU_5205,Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023 Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Zymomonas,,
OTU_5200,Anaeromyxobacter sp. PSR-1 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_3532,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_9704,Rhodocyclales bacterium RIFCSPLOWO2_02_FULL_63_24 Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, unclassified Rhodocyclales,,,
OTU_5209,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_6921,Herbaspirillum frisingense GSF30 Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Herbaspirillum,,
OTU_8143,Pseudomonas sp. IPPW-2 Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_8353,Dolichospermum circinale FSS-124 Bacteria, Cyanobacteria, Nostocales, Nostocaceae, Dolichospermum, Dolichospermum circinale,,
OTU_2681,Geobacter pickeringii Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_10494,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_10491,Anaeromyxobacter sp. Fw109-5 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter,
OTU_10493,Pseudomonas sp. IPPW-2 Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_17824,Ensifer sp. CHU2 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Ensifer,
OTU_15997,Terrimicrobium sacchariphilum Bacteria, Verrucomicrobia, Spartobacteria, Terrimicrobium,,,,
OTU_8675,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_17821,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_15990,Methylocystis sp. ATCC 49242 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylocystaceae, Methylocystis,,
OTU_15991,Geobacteraceae bacterium GWC2_58_44 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae,,,
OTU_8443,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_9707,Pseudomonas sp. IPPW-2 Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_17829,Geobacter pelophilus Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_15998,Anaeromyxobacter sp. PSR-1 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_15999,Martelella endophytica Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Aurantimonadaceae, Martelella,,
OTU_10018,Methylomonas paludis Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_10019,uncultured Rhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Rhizobium, environmental samples
OTU_15681,Anaeromyxobacter sp. Fw109-5 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter,
OTU_18263,Butyrivibrio sp. INlla16 Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Butyrivibrio,,
OTU_2309,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_6085,Methylomonas lenta Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_18260,Achromatium sp. WMS3 Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Thiotrichaceae, Achromatium,,
